personLabel,categoryLabel,year,age
Луи Рено,Нобелевская премия мира,1907,64
Дмитрий Андреевич Муратов,Нобелевская премия мира,2021,60
Джейн Аддамс,Нобелевская премия мира,1931,71
Огюст Беернарт,Нобелевская премия мира,1909,80
Эйсаку Сато,Нобелевская премия мира,1974,73
Густав Штреземан,Нобелевская премия мира,1926,48
Эмили Грин Болч,Нобелевская премия мира,1946,79
Элиу Рут,Нобелевская премия мира,1912,67
Фредерик Виллем де Клерк,Нобелевская премия мира,1993,57
Леон Жуо,Нобелевская премия мира,1951,72
Рене Кассен,Нобелевская премия мира,1968,81
Шарль Альбер Гоба,Нобелевская премия мира,1902,59
Менахем Бегин,Нобелевская премия мира,1978,65
Карлос Сааведра Ламас,Нобелевская премия мира,1936,58
Адольфо Перес Эскивель,Нобелевская премия мира,1980,49
Далай-лама XIV,Нобелевская премия мира,1989,54
Джордж Маршалл,Нобелевская премия мира,1953,73
Дэвид Тримбл,Нобелевская премия мира,1998,54
Анри Дюнан,Нобелевская премия мира,1901,73
Клас Понтус Арнольдсон,Нобелевская премия мира,1908,64
Джон Бойд Орр,Нобелевская премия мира,1949,69
Джимми Картер,Нобелевская премия мира,2002,78
Норман Энджелл,Нобелевская премия мира,1933,61
Поль Анри Бенжамен д’ Этурнель де Констан,Нобелевская премия мира,1909,57
Карлуш Белу,Нобелевская премия мира,1996,48
Ле Дык Тхо,Нобелевская премия мира,1973,62
Эли Дюкоммен,Нобелевская премия мира,1902,69
Вилли Брандт,Нобелевская премия мира,1971,58
Джозеф Ротблат,Нобелевская премия мира,1995,87
Теодор Рузвельт,Нобелевская премия мира,1906,48
Эли Визель,Нобелевская премия мира,1986,58
Бетти Уильямс,Нобелевская премия мира,1976,33
Филип Ноэль-Бейкер,Нобелевская премия мира,1959,70
Николас Мюррэй Батлер,Нобелевская премия мира,1931,69
Ширин Эбади,Нобелевская премия мира,2003,56
Тобиас Ассер,Нобелевская премия мира,1911,73
Даг Хаммаршёльд,Нобелевская премия мира,1961,56
Берта фон Зутнер,Нобелевская премия мира,1905,62
Мохаммед эль-Барадеи,Нобелевская премия мира,2005,63
Надия Мурад,Нобелевская премия мира,2018,25
Аристид Бриан,Нобелевская премия мира,1926,64
Чарлз Гейтс Дауэс,Нобелевская премия мира,1925,60
Ясир Арафат,Нобелевская премия мира,1994,65
Леон Буржуа,Нобелевская премия мира,1920,69
Лестер Пирсон,Нобелевская премия мира,1957,60
Джозеф Остин Чемберлен,Нобелевская премия мира,1925,62
Альберт Гор,Нобелевская премия мира,2007,59
Фредрик Байер,Нобелевская премия мира,1908,71
Ригоберта Менчу,Нобелевская премия мира,1992,33
Фердинанд Эдуард Бюиссон,Нобелевская премия мира,1927,86
Джоди Уильямс,Нобелевская премия мира,1997,47
Малала Юсуфзай,Нобелевская премия мира,2014,17
Джон Хьюм,Нобелевская премия мира,1998,61
Жорж Пир,Нобелевская премия мира,1958,48
Норман Эрнест Борлоуг,Нобелевская премия мира,1970,56
Мейрид Корриган,Нобелевская премия мира,1976,32
Альберт Лутули,Нобелевская премия мира,1960,62
Эрнесто Теодоро Монета,Нобелевская премия мира,1907,74
Уильям Рандал Кример,Нобелевская премия мира,1903,75
Мартти Ахтисаари,Нобелевская премия мира,2008,71
